,title,company,salary,location,summary
33,"Systems Analyst I, II - GIS Application Developer (SB-154-21...",Sanitation Districts of Los Angeles County,"$7,476 - $10,354 a month","Whittier, CA","LOS ANGELES COUNTY SANITATION DISTRICTS*.*Under the direction of a Senior Systems Analyst or higher classification, the incumbent will design, create, update…"
34,Business Intelligence Engineer - Amazon Studios,Amazon.com Services LLC,,"Culver City, CA 90230","BA/BS in Computer Science, Engineering, Statistics, Mathematics or related field.3+ years of experience in a data engineer or BIE role with a technology…"
35,newSenior Python Developer,Extron,,"Anaheim, CA 92805 (Southeast Anaheim area)","Integration of user-facing elements developed by front-end developers with efficient and reusable server-side logic.MongoDB, SQL Server, Rocket Unidata."
36,Threat Researcher - Opportunity for Working Remotely Los Ang...,Carbon Black,"$104,155 a year","Los Angeles, CA•Remote","This is a mid level position in Cyber Security, targeted toward individuals with more than 4 years of experience.Full Time/ Part Time: Full Time."
37,Lead python developer,Cryptospace,,"San Pedro, CA",Experience with deployments to Kubernetes on the Google Cloud platform.
38,newVIRTUAL Junior RPA Developer (AA),Deloitte,,"Los Angeles, CA 90013 (Downtown area)•Remote",Translate business requirements and processes into technical requirement and configuration settings specific to Cognitive Robotics Automation solutions.
39,Remote Python Developer,Deloitte,,"Los Angeles, CA 90013 (Downtown area)•Remote","Function as an integrator between business needs and technology solutions, helping to create technology solutions to meet clients' requirements."
40,Full Stack React + Python Dev / AI Software,Involve.ai,,"Santa Monica, CA 90404•Remote","The current need is for a stronger front-end React developer.We are looking for someone to take our product to great heights through their technical knowledge,…"
41,newSoftware Engineer,Mycroft AI,,"Los Angeles, CA•Remote",The person who fills this role will need to be able to perform a wide variety of tasks across several technical disciplines.Degree in science or engineering.
42,BI Developer,BELLA+CANVAS,,"Los Angeles, CA 90040",The position of Business Intelligence Developer will help develop and support our data analytics processes and integrated business intelligence tools.
43,Software Automation Engineer,Red Bull,,"Santa Monica, CA",The Software Automation Engineer is part of a software implementation team that manages development of internally created or integrated web and mobile solutions…
44,Web Application Developer - Advertising (Remote position),Gannett,,"Los Angeles, CA•Remote","Collaborate with developers, designers and product/business managers to develop new features consistent with product roadmap and revenue goals."
45,Senior Software Developer,Hulu,,"Santa Monica, CA+2 locations","Design and develop the large-scale, real-time, reliable and globally available platforms.Build robust and scalable micro-services and data pipelines."
46,Full Stack Developer (NO C2C AND NO SPONSORSHIP),Law Practice Client,,"Los Angeles, CA•Remote","At least 2 years of full-time professional experience working on a team with at least 3 other developers on a project that made it to ""production. ""."
47,Junior Software Engineer,DIRECTV,,"El Segundo, CA","Our software development teams span the full-stack spectrum, including front-end, back-end and mobile app development.Utilize Agile and/or Scrum Methodology."
48,"Manager, Software Engineering",Hulu,,"Santa Monica, CA",Within DPE the Production Engineering team is responsible for ensuring that Hulu’s technology stack is able to deliver an extraordinary user experience even…
49,"newSoftware Engineer, STAB - Legends of Runeterra",Riot Games,,"Los Angeles, CA 90064 (Sawtelle area)+1 location","1+ years experience with scripting languages (python, bash, ruby, Node.js, etc).Riot engineers bring deep knowledge of specific technical areas but also value…"
50,Junior Software Engineer,Honeybee Robotics,,"Altadena, CA","We offer a robust benefits package including; paid parental leave, tuition reimbursement, company-paid life and disability insurance, and a generous offering of…"
51,Software Engineer,ThinKom Solutions Inc,,"Hawthorne, CA 90250",This position is focused on the role of software engineering in the design of distributed computing application.Some Web design as needed.
